"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1591688933","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1591688935","4","","Aggregated",0.00,0.00,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,2,0,940,1083,940,1226,6
"1591688937","8","","Aggregated",0.00,0.00,950,1100,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,7,0,950,1033,884,1264,6
"1591688939","10","","Aggregated",1.25,0.00,950,960,1100,1200,1300,1300,1300,1300,1300,1300,1300,1300,10,0,950,1003,882,1264,6
"1591688941","10","","Aggregated",1.50,0.00,940,950,960,1100,1200,1300,1300,1300,1300,1300,1300,1300,13,3,940,866,210,1264,8
"1591688943","10","","Aggregated",1.38,0.12,880,940,950,960,1200,1300,1300,1300,1300,1300,1300,1300,19,8,880,660,209,1264,9
"1591688946","10","","Aggregated",1.60,0.60,260,680,880,880,950,960,960,960,960,960,960,960,21,9,680,621,209,1264,9
"1591688948","10","","Aggregated",2.00,0.90,220,260,260,350,680,960,960,960,960,960,960,960,23,11,350,587,209,1264,10
"1591688950","10","","Aggregated",1.70,1.00,210,220,250,260,260,680,680,680,680,680,680,680,26,11,260,544,209,1264,9
"1591688952","10","","Aggregated",1.60,1.10,210,220,250,250,260,260,260,260,260,260,260,260,29,12,250,511,209,1264,9
"1591688954","10","","Aggregated",1.60,1.10,220,230,250,250,250,260,260,260,260,260,260,260,34,13,230,469,209,1264,9
"1591688956","10","","Aggregated",1.60,1.10,220,220,230,230,250,250,250,250,250,250,250,250,34,13,230,469,209,1264,9
"1591688958","10","","Aggregated",1.40,0.40,220,230,250,250,420,930,930,930,930,930,930,930,40,17,230,454,209,1264,9
"1591688960","10","","Aggregated",1.50,0.50,210,220,230,230,420,930,930,930,930,930,930,930,45,21,220,427,209,1264,10
"1591688962","10","","Aggregated",1.80,0.90,220,220,230,230,420,930,930,930,930,930,930,930,47,22,220,418,209,1264,10
"1591688964","10","","Aggregated",1.90,0.90,210,210,220,220,420,930,930,930,930,930,930,930,53,24,220,395,209,1264,10
"1591688966","10","","Aggregated",1.80,1.00,210,210,210,220,220,580,580,580,580,580,580,580,54,24,220,399,209,1264,10
"1591688968","10","","Aggregated",2.00,1.10,210,220,220,510,550,580,580,580,580,580,580,580,56,24,220,403,209,1264,9
"1591688970","10","","Aggregated",1.60,0.70,310,430,510,550,550,580,580,580,580,580,580,580,61,29,220,405,209,1264,10
"1591688972","10","","Aggregated",1.30,0.50,480,510,550,550,550,580,580,580,580,580,580,580,62,29,220,407,209,1264,10
"1591688974","10","","Aggregated",1.30,0.50,480,530,550,550,550,580,580,580,580,580,580,580,64,30,220,401,209,1264,10
"1591688976","10","","Aggregated",1.40,0.70,510,530,550,550,550,920,920,920,920,920,920,920,66,30,220,411,209,1264,10
"1591688978","10","","Aggregated",1.20,0.60,530,550,590,720,880,920,920,920,920,920,920,920,71,33,230,425,209,1264,10
"1591688980","10","","Aggregated",1.50,0.90,490,530,720,720,880,920,920,920,920,920,920,920,74,34,250,430,209,1264,10
"1591688982","10","","Aggregated",1.50,0.90,530,590,720,850,880,920,920,920,920,920,920,920,74,34,250,430,209,1264,10
"1591688984","10","","Aggregated",1.30,0.50,530,660,720,850,880,920,920,920,920,920,920,920,78,37,250,428,209,1264,10
"1591688986","10","","Aggregated",1.30,0.60,470,490,660,730,850,880,880,880,880,880,880,880,82,39,250,427,209,1264,10
"1591688988","10","","Aggregated",1.40,0.80,330,470,490,660,730,850,850,850,850,850,850,850,85,41,250,419,209,1264,10
"1591688990","10","","Aggregated",1.50,0.80,260,330,350,470,660,730,730,730,730,730,730,730,87,41,250,415,209,1264,10
"1591688992","10","","Aggregated",1.40,0.80,210,220,230,260,350,730,730,730,730,730,730,730,93,44,230,402,209,1264,10
"1591688994","10","","Aggregated",1.50,0.80,210,220,230,300,330,730,730,730,730,730,730,730,94,44,230,401,209,1264,10
"1591688996","10","","Aggregated",1.70,0.80,210,210,220,220,300,300,300,300,300,300,300,300,96,44,230,398,209,1264,10
"1591688997","0","","Aggregated",1.50,0.70,210,240,250,300,490,860,860,860,860,860,860,860,101,48,230,398,209,1264,10
